,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
311,706.0,66.0,188.0,53.0
312,87.0,110.0,73.0,60.0
313,77.0,99.0,226.0,55.0
314,547.0,119.0,285.0,87.0
315,496.0,87.0,490.0,58.0
316,626.0,75.0,121.0,59.0
317,358.0,84.0,184.0,86.0
318,487.0,99.0,221.0,71.0
319,109.0,109.0,154.0,61.0
320,700.0,91.0,246.0,62.0
321,549.0,79.0,90.0,55.0
322,142.0,111.0,195.0,64.0
323,677.0,83.0,156.0,85.0
324,540.0,81.0,377.0,78.0
325,1000.0,145.0,233.0,84.0
326,149.0,70.0,173.0,57.0
327,106.0,99.0,190.0,79.0
328,535.0,116.0,205.0,54.0
329,224.0,121.0,197.0,53.0
330,760.0,102.0,90.0,56.0
331,687.0,135.0,104.0,86.0
332,414.0,153.0,126.0,53.0
333,268.0,92.0,268.0,77.0
334,481.0,73.0,110.0,57.0
335,487.0,56.0,101.0,58.0
336,319.0,144.0,258.0,59.0
337,123.0,98.0,176.0,77.0
338,478.0,87.0,180.0,59.0
339,130.0,149.0,237.0,83.0
340,206.0,115.0,119.0,92.0
341,225.0,137.0,201.0,80.0
342,989.0,59.0,301.0,81.0
343,874.0,113.0,121.0,81.0
344,758.0,72.0,229.0,61.0
345,608.0,116.0,136.0,72.0
346,779.0,68.0,254.0,80.0
347,612.0,56.0,271.0,54.0
348,771.0,63.0,174.0,84.0
349,536.0,140.0,286.0,63.0
350,283.0,79.0,268.0,57.0
351,1000.0,54.0,174.0,82.0
352,513.0,96.0,250.0,57.0
353,612.0,127.0,184.0,62.0
354,702.0,77.0,189.0,55.0
355,956.0,106.0,190.0,61.0
356,1000.0,59.0,97.0,52.0
357,700.0,114.0,176.0,62.0
358,671.0,159.0,126.0,61.0
359,767.0,125.0,230.0,72.0
360,637.0,116.0,198.0,56.0
361,519.0,244.0,245.0,79.0
362,591.0,62.0,203.0,70.0
363,743.0,99.0,176.0,65.0
364,548.0,125.0,124.0,65.0
365,228.0,135.0,99.0,80.0
366,922.0,136.0,158.0,59.0
367,655.0,104.0,104.0,56.0
368,639.0,69.0,93.0,65.0
369,144.0,70.0,221.0,63.0
370,847.0,66.0,293.0,55.0
371,626.0,111.0,203.0,59.0
372,782.0,99.0,241.0,81.0
373,1000.0,117.0,219.0,72.0
374,779.0,75.0,396.0,81.0
375,641.0,75.0,112.0,65.0
376,84.0,55.0,356.0,61.0
377,889.0,78.0,112.0,76.0
378,997.0,99.0,219.0,82.0
379,761.0,111.0,199.0,57.0
380,452.0,91.0,413.0,75.0
381,898.0,66.0,142.0,60.0
382,986.0,72.0,199.0,63.0
383,800.0,156.0,105.0,75.0
384,1000.0,74.0,207.0,75.0
385,1000.0,65.0,256.0,53.0
386,851.0,93.0,263.0,78.0
387,817.0,58.0,132.0,90.0
388,650.0,99.0,268.0,51.0
389,133.0,57.0,230.0,71.0
390,860.0,73.0,137.0,77.0
