,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
182,-116.47263844704946,-179.438129066055,-277.61043147769334,-119.96265730083802
183,-307.30850870939094,110.58005357478828,-81.67636056841573,-261.7636144816994
184,-337.72116255587554,-126.73081800266544,-82.35149125197685,-278.6251576756993
185,-279.91339716043797,-138.58181741663668,-3.270016733811474,-182.72710345811447
186,-244.68023108748338,-84.72967787297263,-16.589516093220226,-251.6761063492069
187,-285.75452782705656,-205.9016548797182,-75.15001447417191,-226.38652846012786
188,-229.2195933596808,-174.3229871102689,-228.08728653906186,-81.47429408828711
189,-238.27867257429244,-231.54259310437837,-117.78474765205947,-271.3122199459142
190,-192.08667607361457,-66.58251550249085,-92.71076777532662,-233.38787546680263
191,-185.47786257843768,114.6099862811894,-51.35366346319274,-222.04869534703437
192,-224.49045306449295,-114.11219511263329,-91.43839802048828,-254.59118084494736
193,-283.8534344644887,69.68829257742266,169.14099019070764,-38.71703055409647
194,-255.63656707938503,-413.65672955950185,-125.56656314831511,-859.2663011568609
195,-176.00241909604227,-115.96070108524346,-138.6186516364535,-88.00612006362003
196,-210.52162603123028,-108.15798941307183,173.60626653295895,-241.806811553017
197,-207.10311203744715,-141.7061199223765,-112.13552517824148,-74.69018164520186
198,-220.602930519878,-165.85913432045336,-123.26496492437394,-242.64685778520396
199,-207.31379723055045,-138.1534173649141,166.8041477181535,-262.03879298464983
200,-250.89706461673964,-133.46262128856716,-62.96992357100551,-357.2122767161283
201,-217.56452953125205,-128.28787453537902,-143.806150572001,-69.70501997018255
202,-202.4772369044751,14.544350807904152,34.51364308688765,-233.92599160575938
203,-206.8599588688479,117.43463777206634,-89.64531522463406,-218.7280036308113
204,-225.35405333846572,55.5254849388169,154.4745629788389,-68.96512326295701
205,-214.11509039795646,-259.26271964062613,-145.233044285078,-25.46484065536613
206,-215.0281315703478,-190.73129358808768,137.01355175341325,-251.20841865360822
207,-261.77268475388877,-109.02728384465064,93.33686383853785,-72.68190066242133
208,-262.6633721319556,-117.65356568767425,-248.4823673280851,-277.366201296557
209,-219.4689716909881,-152.6929091397289,-37.127746949444685,-287.7789542070592
210,-264.60998281505783,-342.02625965997595,-83.54069713654455,-73.90520590229552
211,-261.92809986617897,-110.48933131543525,-37.018149586942386,-54.68883320576117
212,-251.46164542168287,100.2451727510953,-86.68839134983523,-175.66058638127947
213,-213.26380033268345,89.41522484681987,-289.79213233932546,-31.125028491598727
214,-238.61139826359351,-84.33351448071173,122.17968921587975,-224.4648851745771
215,-254.12241807842128,-127.22168296648145,-35.75637927438336,-111.2745119802047
216,-244.949527512506,-200.4347221796506,-132.7213897551427,-208.18849326934983
