,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
426,927.0,734.0,97.0,1000.0
427,749.0,1000.0,178.0,1000.0
428,677.0,859.0,89.0,1000.0
429,552.0,740.0,186.0,1000.0
430,390.0,1000.0,146.0,1000.0
431,554.0,791.0,221.0,1000.0
432,806.0,1000.0,87.0,1000.0
433,620.0,974.0,165.0,1000.0
434,656.0,252.0,161.0,1000.0
435,141.0,733.0,171.0,1000.0
436,945.0,885.0,228.0,1000.0
437,193.0,686.0,96.0,587.0
438,499.0,909.0,148.0,1000.0
439,830.0,669.0,186.0,1000.0
440,792.0,968.0,152.0,1000.0
441,766.0,1000.0,164.0,1000.0
442,756.0,1000.0,117.0,1000.0
443,727.0,927.0,155.0,1000.0
444,250.0,271.0,152.0,1000.0
445,692.0,848.0,145.0,360.0
446,280.0,371.0,134.0,1000.0
447,846.0,789.0,135.0,1000.0
448,878.0,847.0,142.0,1000.0
449,666.0,467.0,124.0,1000.0
450,764.0,615.0,100.0,1000.0
451,763.0,1000.0,98.0,1000.0
452,670.0,719.0,104.0,1000.0
453,762.0,982.0,98.0,1000.0
454,1000.0,596.0,99.0,1000.0
455,591.0,920.0,94.0,1000.0
456,716.0,880.0,100.0,1000.0
457,622.0,734.0,261.0,1000.0
458,426.0,855.0,134.0,1000.0
459,515.0,1000.0,175.0,1000.0
460,833.0,1000.0,110.0,421.0
461,671.0,524.0,154.0,1000.0
462,620.0,349.0,93.0,1000.0
463,714.0,796.0,168.0,1000.0
464,702.0,441.0,129.0,1000.0
465,681.0,1000.0,106.0,1000.0
466,577.0,805.0,158.0,1000.0
467,751.0,547.0,153.0,1000.0
468,530.0,819.0,158.0,1000.0
469,703.0,1000.0,126.0,1000.0
470,370.0,460.0,291.0,1000.0
471,671.0,961.0,123.0,1000.0
472,590.0,871.0,168.0,1000.0
473,554.0,640.0,95.0,1000.0
474,700.0,1000.0,146.0,1000.0
475,538.0,1000.0,138.0,1000.0
476,736.0,789.0,168.0,1000.0
477,413.0,1000.0,122.0,1000.0
478,395.0,424.0,100.0,1000.0
479,568.0,774.0,144.0,1000.0
480,671.0,869.0,134.0,1000.0
481,704.0,709.0,191.0,1000.0
482,537.0,1000.0,134.0,1000.0
483,733.0,298.0,352.0,1000.0
484,799.0,830.0,98.0,1000.0
485,441.0,566.0,102.0,1000.0
486,729.0,1000.0,214.0,1000.0
487,679.0,615.0,171.0,1000.0
488,464.0,123.0,151.0,1000.0
489,481.0,1000.0,238.0,1000.0
490,727.0,1000.0,109.0,1000.0
491,746.0,1000.0,179.0,1000.0
492,552.0,1000.0,183.0,1000.0
493,637.0,871.0,188.0,1000.0
494,542.0,510.0,174.0,1000.0
495,623.0,1000.0,91.0,1000.0
496,722.0,859.0,135.0,1000.0
497,540.0,1000.0,88.0,1000.0
498,765.0,468.0,110.0,1000.0
499,656.0,1000.0,176.0,1000.0
500,630.0,1000.0,78.0,1000.0
