,one 64 layer,one 128 layer,two 64 layer
314,73.12637464397883,-297.0636884962095,-71.7296424955561
315,274.10932808505686,-329.61317523774915,-360.4507920661682
316,-2.2430397347230837,-153.33927992291513,164.13775857242487
317,115.79581025511013,-258.21452391861857,-37.3920143996442
318,-18.0298108180521,-209.5492535881343,-420.61744846114686
319,-8.961060824233115,-302.44736377938295,-83.67002358880313
320,-47.81886545482176,-82.86109217247805,9.665025303586575
321,98.6855875618881,-45.79981751311459,49.80457769948143
322,161.22645779726588,-106.12544827984189,-175.02248750030643
323,200.06605594900174,-110.58981458160989,-242.25771562330692
324,194.09154588183364,-346.45165313862657,-368.20951805224286
325,117.6516990966377,-452.5924598101524,-177.11633172324775
326,-271.9101865643771,-40.47260379676324,-566.6661462138485
327,-143.84115541201618,-197.52877794009783,-873.4284241357973
328,173.8094347462035,-221.15522943523837,-123.57920496341151
329,153.77350692898165,-166.1595024734854,-1126.6181004200887
330,164.8429085692388,-199.44735934537906,-212.8447153818362
331,-184.30883592766105,-212.520698703592,-591.4415523928533
332,-141.73512735740746,-268.0985399893317,-537.8301205019119
333,-103.9305393777488,-288.22515988724297,-252.46605297603494
334,-173.6011762835576,-234.11173217802747,-105.62557011780363
335,70.30116625860637,-212.68769038347006,-510.21456973013704
336,272.52025670127705,-346.75276363341544,-455.1529379130822
337,-379.4595268787458,-125.32589821966366,-157.61984272381653
338,-256.60688359960983,-187.80373970735943,-340.61185181519494
339,-160.06196633438998,-315.92468526968247,-203.2617614449054
340,234.5386901285448,-130.11742605795993,-214.6966467562113
341,-224.8043232858763,-250.57411599709732,-396.76684566511045
342,149.71041255394675,-159.82312371382397,-468.9195003023594
343,-97.91363982664703,-231.39999620455023,-318.13920074108245
344,211.46350929476841,-295.84052246093216,-488.13171283461526
345,166.06879647907897,-285.2075343746824,-432.0681200588125
346,-143.55255332392485,3.429230311265087,-379.44406954751963
347,180.82622999696312,-190.95389010733402,-516.987253021986
348,314.41486526660077,-229.96269096606773,-211.98859875631535
349,-97.59531855843127,-406.3144862299244,-366.87636096417356
350,-58.65307361221405,-389.9049057490323,-451.3569340214959
351,-159.70407269655132,-240.4313222617989,-242.50492354755104
352,-92.15663385762964,-450.4748643878909,-279.3540324833119
353,-78.8976105613272,-210.6270140873723,-713.1668817945736
354,134.32239495530638,-89.317896778225,-179.66779977818874
355,262.5967219407446,-112.40166333437374,-108.90505438140973
356,6.199610668310257,-387.0259153563273,-241.2496326824875
357,-174.09323465882977,-142.74779845175803,-192.98549418098315
358,190.40689793541983,-66.31028129591859,-115.32847600298868
359,-261.0220127437475,-348.4662351173976,-63.08493606021477
360,24.469792782730977,-367.84787713503647,-340.1634939274807
361,-83.84695422009344,-380.44483740574236,-539.8067117995953
362,271.3484966315134,-374.06958170332723,-216.75719517119109
363,12.375243098515494,-131.23168568760863,-141.33326765172376
364,227.9455653330499,-107.94631102713812,-192.3267817543429
365,125.8816055522637,-294.3506839677863,-210.9265777926984
366,-107.57671250697398,-143.87953592572669,-206.6535279649587
367,26.45797075859504,-364.24983870705785,-312.73805241830087
368,-67.92419638979896,-693.488662305379,-215.22935086544885
369,-35.16510763817715,-389.1864134000875,-222.2900129899926
370,-72.07805164295875,-359.4121915234274,-150.33060585306276
371,-224.7764581326796,-24.792484493197435,-240.4717932397078
372,-129.50665482283657,-312.1461305447693,-174.32601985471757
373,-58.09688161775702,-312.5110304238788,-150.88628630047629
374,-149.9061519385045,-309.8881400379341,-256.23435847602167
375,-12.266258544111082,-387.6277582534041,-180.3989858949982
376,-182.1958368497314,-338.8857093019213,-129.39710740797477
377,262.03286081517825,-562.4616011797376,-119.44235338471475
378,-152.95508212195148,-117.96990690298315,-54.02717811093953
379,-94.39382018020035,-54.18918157321389,-635.4601169914944
380,-193.74961445259544,-26.549976326274212,-424.67950918376107
381,242.20532955215089,-47.48219426273404,-194.75022468427335
382,38.16042134667046,-151.14189164349833,-273.19866006952384
383,-39.60860765388699,-283.31100297402344,-377.61586875337156
384,43.84012739939416,-427.4794359063201,-235.81760324159336
385,-97.127135786463,-604.0487898572361,-216.99254821485766
386,71.62666148030462,-343.8959857779937,-178.5758878644589
387,-135.95201663349224,-333.9536620585227,-267.3620436595472
388,-51.13756338681384,-315.6583169751035,49.600240668609246
389,-21.966075940337916,-355.82175252667037,-299.329617206682
390,20.26661929979656,-394.629982231516,-281.183696419322
391,167.2927020800553,-383.0481540130587,-53.867324807358614
392,-168.37816198560404,-442.70829488154817,-86.72669932392769
393,43.03586375012128,-378.76642327442016,-140.94516598574288
394,-129.4623931806382,-138.96461711325932,-194.32538265778754
395,19.0823804153967,-685.9398600946024,-148.9337921988535
396,258.8073258123967,-318.0552979394327,-348.9592402037017
397,-122.97465900242514,-418.34818388551923,-894.1664473910804
398,248.40309375002246,-591.449881193151,-693.8589515880692
399,-80.52792607793988,-565.010186133093,-200.85277617296768
400,24.025067973540885,-484.27908004803135,-335.7216351845106
401,191.23193810790067,-503.72015367647094,-229.35959331488127
402,-113.93398624688903,-395.9198486397168,-113.37725550455238
403,251.63322136128878,-510.0015391286421,204.30432951851637
404,-18.360283257486287,-530.2668077159841,-849.5071312047689
405,40.099963789737,-408.69210185371327,-416.3358088199428
406,-107.7045764830333,-30.743059579973178,-136.2010638552899
407,8.587075578034202,-30.660944164838824,-253.27843624387205
408,14.086403029878255,17.93493773010853,-173.70849108097423
409,168.12678638730023,-130.60899118653805,-181.32293062973807
410,-89.28582465941683,-73.96192019364145,-219.60481072574888
411,-245.48803244529893,-103.69561624046779,-129.97742461562726
412,-112.14626806079595,-575.1156929064579,-240.70553845904925
413,-23.31317320436777,-391.7117776327995,-57.97296742412401
414,-121.85825500256743,-252.95177606100052,-200.68556729339764
415,-15.607319256503345,-514.6737805739826,-602.5085693257261
416,272.7523921832419,-268.9612792281208,-253.1469670156135
417,5.195966825183078,-265.263187497825,-172.25614475466028
418,21.299384849157278,-435.6915729680735,-276.13389207783206
419,-47.016015297055645,-334.1495696336567,-225.02574628684494
420,264.25826225513276,-286.60421226745575,-553.6351220940737
421,-118.21256348108037,-257.96932462938554,-223.2515209661886
422,256.7654205186799,-428.2556730868998,-549.0004036241328
423,-10.331650184688712,-273.45533215123993,-246.3877189725273
424,-120.28823559896237,-269.5890966112187,-211.8422952640537
425,47.1845888834211,-132.20503084661613,42.05331286884376
426,-44.12310360779093,-26.354308300800124,-115.8939903612122
427,-138.03816945410674,-308.23077483904683,-86.52511778115874
428,236.12926388172704,-353.28519471506456,-48.321713416888294
429,-140.696029878173,-513.5641185046984,-78.48647268582145
430,258.37541877005776,-325.3556026078724,-97.76817301465803
431,-176.39596414376425,-633.5576147649477,-526.2286201888237
432,-20.54599557234188,-283.257660292942,-238.67722282749816
433,-103.2287321117655,-413.96426319578245,-214.34527697866855
434,201.90564830951453,-455.9994119291905,-75.5615986972098
435,-134.40123418601686,-513.2139489265559,-175.27037556656768
436,138.24437889198552,-597.5370786310874,-133.27420891544637
437,-186.11118945105858,-271.68608010619323,-281.883635235862
438,-199.83590956755876,-256.22408948813,-102.1546999402526
